0.000|-0.1507132;1.688786;-3.575153;-0.1160769;-0.4147229;0.9025058
0.333|-0.1973996;1.68699;-3.6685;-0.3853613;-0.3232144;0.8643037
0.397|-0.1821582;1.687259;-3.665274;-0.394167;-0.3393061;0.8541007
0.446|-0.1772468;1.688371;-3.665343;-0.3919284;-0.3606963;0.8463229
0.491|-0.1772468;1.688371;-3.665343;-0.3919284;-0.3606963;0.8463229
0.540|-0.1768661;1.69097;-3.665773;-0.6013035;-0.2973035;0.741635
0.579|-0.2210849;1.69368;-3.692687;-0.5849708;-0.2528651;0.7706271
0.625|-0.2110493;1.695183;-3.686014;-0.5886542;-0.2371865;0.7727979
0.674|-0.2197893;1.697233;-3.690929;-0.5837947;-0.2334417;0.7776023
0.718|-0.1969204;1.697844;-3.67419;-0.5935505;-0.2484694;0.765475
0.763|-0.2150379;1.699067;-3.686614;-0.5898877;-0.2340665;0.7727972
0.811|-0.1918356;1.69913;-3.669106;-0.5966639;-0.2463059;0.7637408
0.854|-0.1921586;1.699464;-3.669014;-0.6001869;-0.24685;0.7608131
0.902|-0.19516;1.699615;-3.670871;-0.6005312;-0.2418935;0.7621213
0.951|-0.1908883;1.699223;-3.668868;-0.5981549;-0.2435217;0.7634687
0.997|-0.1604184;1.69897;-3.648167;-0.4387966;-0.3521073;0.8267092
1.043|-0.1847229;1.69489;-3.65951;0.01293157;-0.4341584;0.9007359
1.090|-0.1576248;1.696087;-3.644521;-0.1067125;-0.446275;0.8885047
1.132|-0.14221;1.696467;-3.636352;-0.1263326;-0.4563701;0.8807576
1.179|-0.170862;1.693383;-3.646582;-0.03756912;-0.4429751;0.8957312
1.221|-0.1430062;1.695113;-3.633483;-0.1152094;-0.4467348;0.8872104
1.268|-0.1474655;1.694166;-3.633535;-0.1016091;-0.4391475;0.8926325
1.341|-0.1395539;1.693248;-3.626145;-0.1125055;-0.4485226;0.8866484
1.401|-0.1549007;1.693415;-3.629554;-0.3259713;-0.2945896;0.8982925
1.462|-0.1378788;1.694083;-3.619256;-0.3333942;-0.2811315;0.8998899
1.519|-0.1512384;1.694529;-3.620849;-0.3222089;-0.2878409;0.9018297
1.581|-0.1633976;1.696396;-3.6236;-0.6721894;-0.2191838;0.7071814
1.644|-0.1481315;1.698096;-3.608467;-0.6539621;-0.2239414;0.7226169
1.699|-0.1722452;1.700376;-3.621143;-0.6465428;-0.2442127;0.7227275
1.745|-0.2112109;1.703;-3.656747;-0.6591468;-0.2152396;0.7205494
1.787|-0.1998065;1.706137;-3.644101;-0.9011059;-0.1583878;0.4036141
